epoch,acc,loss,val_acc,val_loss
0,0.755074541,0.423682715,0.776102288,0.39631261
1,0.785794151,0.378168488,0.788429563,0.3930993
2,0.80055906,0.353349937,0.796341953,0.356922406
3,0.815309633,0.335092353,0.804999713,0.34284131
4,0.826275803,0.317358725,0.812568087,0.337926336
5,0.839291858,0.301570569,0.821053839,0.331622754
6,0.851605505,0.284230327,0.824838025,0.329579614
7,0.86353211,0.266862758,0.831718365,0.330408652
8,0.875673739,0.250886273,0.830858322,0.335042387
9,0.885177752,0.233471724,0.831317012,0.3408137
10,0.896788991,0.218002433,0.828106187,0.352417506
11,0.90577695,0.203145525,0.838484032,0.352984294
12,0.914334862,0.187152015,0.833839803,0.372231041
13,0.922677752,0.174378828,0.836534602,0.385706453
14,0.928340023,0.160911416,0.839057393,0.403815049
15,0.934489679,0.151401825,0.839458747,0.414489627
16,0.938274083,0.142515634,0.837566653,0.432293036
17,0.944524083,0.131429355,0.843185597,0.468796695
18,0.94796445,0.123579341,0.838942721,0.470900721
19,0.95106078,0.117502386,0.839057393,0.457167941
20,0.954759174,0.110053051,0.842554899,0.491677506
21,0.957210436,0.104445442,0.844905682,0.521304344
22,0.958443234,0.101569958,0.841465512,0.529939782
23,0.960306766,0.0971378,0.841694857,0.528741196
24,0.962557339,0.094312667,0.844217648,0.546279704
25,0.96303039,0.093107313,0.841121495,0.558088611
26,0.965008601,0.087192413,0.842268219,0.578093968
27,0.966943807,0.084306002,0.838770713,0.55712561
28,0.966872133,0.084394537,0.841809529,0.591837766
29,0.966399083,0.083505561,0.841924202,0.567234299
30,0.969022362,0.078766745,0.842956253,0.600721812
31,0.967646216,0.081007909,0.84553638,0.575935343
32,0.96930906,0.07872209,0.841293504,0.600944237
33,0.971645642,0.072407775,0.843300269,0.611015268
34,0.971702982,0.074622565,0.842268219,0.625632855
35,0.968836009,0.079504334,0.845651052,0.595987446
36,0.97140195,0.073467713,0.843701623,0.605147407
37,0.972477064,0.071050775,0.840548134,0.625508393
38,0.971616972,0.073992659,0.847084456,0.640408575
39,0.972204702,0.070894196,0.842956253,0.657734945
40,0.97293578,0.069641309,0.84209621,0.65710561
41,0.971817661,0.074965063,0.844848346,0.645537805
42,0.972276376,0.072629679,0.840662806,0.642565619
43,0.971602638,0.072638504,0.839344074,0.643278228
44,0.973752867,0.068325703,0.842325555,0.634258
45,0.971502294,0.074870954,0.84358695,0.649892335
46,0.976290138,0.062641131,0.83911473,0.664061525
47,0.97391055,0.06806206,0.845249699,0.662423305
48,0.974870986,0.066598141,0.840949487,0.660433623
49,0.976404817,0.062646262,0.84284158,0.670475164
50,0.974383601,0.066737528,0.842210882,0.66918038
51,0.974555619,0.068284114,0.845020354,0.672565006
52,0.974928326,0.066232889,0.843300269,0.665566167
53,0.974741972,0.066331974,0.841121495,0.673344625
54,0.97659117,0.063380192,0.842554899,0.70306888
55,0.972892775,0.071820187,0.845880397,0.664626546
56,0.976189794,0.062851683,0.845593716,0.682366435
57,0.976949541,0.061488527,0.845192363,0.669646352
58,0.974641628,0.067028177,0.84209621,0.662783104
59,0.976333142,0.063172001,0.845651052,0.669832115
