epoch,acc,loss,val_acc,val_loss
0,0.728890724,0.479567607,0.751585369,0.4362448
1,0.759842204,0.424927535,0.770636556,0.402017026
2,0.773592046,0.400244085,0.772643352,0.400629208
3,0.78144746,0.387310492,0.790570733,0.379511261
4,0.792169815,0.374240952,0.797072753,0.370152223
5,0.798064242,0.364979227,0.799106307,0.363461093
6,0.803465557,0.357448237,0.803628288,0.357960695
7,0.807100836,0.35191305,0.802932598,0.360444074
8,0.812880586,0.346227367,0.807427822,0.35810536
9,0.81383241,0.344030738,0.808792444,0.357738482
10,0.814715428,0.342437919,0.8086319,0.353735721
11,0.815552574,0.34284658,0.7412303,0.467422178
12,0.784601094,0.385771445,0.779198887,0.391275374
13,0.799153679,0.364368877,0.805929414,0.363588079
14,0.810311808,0.348006758,0.800337142,0.368048701
15,0.793477139,0.376051446,0.781607043,0.390552621
16,0.787055194,0.382085296,0.790276403,0.378221431
17,0.793511542,0.372777733,0.79188184,0.379370004
18,0.797135354,0.367837132,0.794129452,0.37498081
19,0.796653708,0.370027238,0.797367083,0.369754564
20,0.796676644,0.370209164,0.797554384,0.368804854
21,0.795334916,0.369712611,0.793888636,0.379286684
22,0.795346384,0.369171827,0.791105879,0.3745216
23,0.796504627,0.367129425,0.795975704,0.371858276
24,0.795174367,0.371734379,0.786182538,0.38327407
25,0.795025286,0.371027778,0.797661413,0.371217487
26,0.796699579,0.368378399,0.793192947,0.373075385
27,0.796160594,0.372663392,0.789473684,0.383184713
28,0.798133049,0.368980531,0.790356675,0.376545833
29,0.797399112,0.366562533,0.793273219,0.370181801
30,0.791917524,0.377134897,0.789206111,0.376124729
31,0.791103313,0.374476714,0.782704091,0.383176259
32,0.788156099,0.379438965,0.786102266,0.381768859
33,0.78840839,0.377226223,0.792978889,0.371764711
34,0.790048279,0.376209282,0.779921334,0.387950283
35,0.786298322,0.381908372,0.78784149,0.380620549
36,0.786470339,0.380668876,0.782570305,0.389743653
37,0.781802961,0.385633346,0.781366227,0.390590894
38,0.779543813,0.396271976,0.777566693,0.399198491
39,0.774348918,0.399714273,0.776228828,0.391781157
40,0.776986502,0.393936666,0.777941295,0.395220893
41,0.778053004,0.392772554,0.779894576,0.389784329
42,0.779314457,0.391877886,0.775533139,0.39570375
43,0.772709029,0.401445407,0.772884168,0.396178319
44,0.775575968,0.394661804,0.778235625,0.392066244
45,0.775851194,0.395431736,0.776576673,0.39108631
46,0.778385569,0.39207037,0.784175742,0.386882053
47,0.774555338,0.400082276,0.773017954,0.407654702
48,0.770598961,0.412668507,0.769833837,0.411768054
49,0.768913201,0.417696018,0.773312284,0.410851826
50,0.770438412,0.411694077,0.773339042,0.408754061
51,0.77300719,0.404057779,0.775185294,0.403710167
52,0.772502609,0.405913387,0.775212051,0.396098637
53,0.76876412,0.418044229,0.774757178,0.405684985
54,0.769750347,0.408813225,0.776683702,0.402133908
55,0.77254848,0.405561937,0.773178498,0.40373138
56,0.772777835,0.403901736,0.771359002,0.403678822
57,0.774532402,0.402017338,0.777192091,0.402406331
58,0.768936136,0.411776775,0.768736789,0.407178313
59,0.769314572,0.412417501,0.772589838,0.417784892
60,0.768397151,0.41675672,0.768736789,0.414722432
